Time,V1,V2,V3
13.24,-2.2001,-3.3545,15.0498
13.26,-2.459,-3.8992,14.4325
13.28,-2.7784,-4.5388,13.8978
13.3,-3.1661,-5.291,13.4602
13.32,-3.632,-6.1749,13.1402
13.34,-4.1873,-7.2088,12.9669
13.36,-4.8448,-8.409,12.9798
13.38,-5.6171,-9.7846,13.2321
13.4,-6.5149,-11.3309,13.7923
13.42,-7.5442,-13.0187,14.7438
13.44,-8.7011,-14.7795,16.1798
13.46,-9.9651,-16.4892,18.1877
13.48,-11.2905,-17.955,20.8199
13.5,-12.5986,-18.9193,24.0473
13.52,-13.775,-19.0974,27.7086
13.54,-14.6777,-18.2594,31.4798
13.56,-15.1629,-16.3402,34.9075
13.58,-15.1231,-13.5189,37.5257
13.6,-14.5251,-10.1984,39.0154
13.62,-13.4259,-6.873,39.3145
13.64,-11.9566,-3.9584,38.6052
13.66,-10.2834,-1.6849,37.203
13.68,-8.5657,-0.0925,35.4269
13.7,-6.9283,0.9059,33.5211
13.72,-5.4514,1.451,31.6358
13.74,-4.1746,1.685,29.8449
13.76,-3.1064,1.726,28.1739
13.78,-2.2354,1.6618,26.6228
13.8,-1.5389,1.5524,25.1814
13.82,-0.9895,1.4361,23.8371
13.84,-0.5596,1.3358,22.5785
13.86,-0.2232,1.2642,21.3961
13.88,0.0424,1.2276,20.2828
13.9,0.2568,1.2288,19.2331
13.92,0.4361,1.2688,18.2427
13.94,0.5939,1.3486,17.3084
13.96,0.7414,1.4695,16.4278
13.98,0.8881,1.634,15.5993
14,1.0424,1.8463,14.8218
14.02,1.2122,2.112,14.0954
14.04,1.4049,2.439,13.4213
14.06,1.6285,2.8375,12.8021
14.08,1.8915,3.3201,12.2426
14.1,2.2034,3.9025,11.7506
14.12,2.575,4.6027,11.3379
14.14,3.0189,5.442,11.0223
14.16,3.5493,6.4431,10.8296
14.18,4.182,7.6295,10.7964
14.2,4.934,9.0215,10.9742
14.22,5.8223,10.6302,11.4331
14.24,6.8611,12.4471,12.2646
14.26,8.0573,14.428,13.5814
14.28,9.4036,16.4708,15.5074
14.3,10.8682,18.3907,18.1529
14.32,12.3824,19.9057,21.5642
14.34,13.8307,20.6535,25.6511
14.36,15.051,20.2704,30.1155
14.38,15.8555,18.537,34.4387
14.4,16.077,15.5325,37.9892
14.42,15.6261,11.6853,40.2436
14.44,14.5307,7.6379,40.9978
14.46,12.9304,3.9961,40.4179
14.48,11.0293,1.1295,38.9061
14.5,9.0348,-0.8705,36.9019
14.52,7.1132,-2.1085,34.7459
14.54,5.3722,-2.7727,32.6425
14.56,3.865,-3.0545,30.685
14.58,2.603,-3.1106,28.898
14.6,1.5715,-3.0546,27.2729
14.62,0.7414,-2.9627,25.7897
14.64,0.0779,-2.8828,24.4277
14.66,-0.4543,-2.8433,23.1702
14.68,-0.8881,-2.8607,22.0045
14.7,-1.2524,-2.9441,20.9225
14.72,-1.5725,-3.0991,19.9191
14.74,-1.8696,-3.3299,18.9925
14.76,-2.1622,-3.6412,18.1429
14.78,-2.4662,-4.039,17.3736
14.8,-2.7959,-4.5308,16.6907
14.82,-3.1645,-5.1259,16.1039
14.84,-3.5846,-5.8353,15.6275
14.86,-4.0688,-6.6703,15.2815
14.88,-4.6292,-7.6416,15.0936
14.9,-5.2775,-8.7559,15.1004
14.92,-6.0236,-10.0122,15.3488
14.94,-6.8744,-11.3954,15.8965
14.96,-7.8309,-12.867,16.8095
14.98,-8.8836,-14.3552,18.1553
15,-10.0082,-15.7444,19.9876
15.02,-11.1589,-16.8708,22.322
15.04,-12.265,-17.5332,25.1033
15.06,-13.2309,-17.5275,28.1747
15.08,-13.9458,-16.7081,31.2681
15.1,-14.3039,-15.0579,34.0394
15.12,-14.2308,-12.7301,36.1525
15.14,-13.7084,-10.0254,37.3816
15.16,-12.7835,-7.3027,37.6773
15.18,-11.556,-4.87,37.159
15.2,-10.1528,-2.9128,36.0453
15.22,-8.6988,-1.4845,34.5709
15.24,-7.296,-0.5411,32.9286
15.26,-6.0148,0.0104,31.2499
15.28,-4.8943,0.274,29.6101
15.3,-3.9487,0.3424,28.0448
15.32,-3.1746,0.288,26.5659
15.34,-2.5579,0.1629,25.1734
15.36,-2.0794,0.0012,23.8621
15.38,-1.7188,-0.1763,22.6259
15.4,-1.4563,-0.3589,21.459
15.42,-1.2745,-0.5425,20.3564
15.44,-1.1591,-0.7276,19.3141
15.46,-1.0986,-0.9177,18.329
15.48,-1.0844,-1.1179,17.3986
15.5,-1.1105,-1.3352,16.5211
15.52,-1.1734,-1.5772,15.6954
15.54,-1.2719,-1.8528,14.921
15.56,-1.4063,-2.172,14.1984
15.58,-1.5792,-2.5464,13.5295
15.6,-1.7949,-2.989,12.9176
15.62,-2.0592,-3.5151,12.3686
15.64,-2.3802,-4.1421,11.8915
15.66,-2.7676,-4.89,11.5
15.68,-3.2334,-5.7808,11.2142
15.7,-3.7915,-6.8376,11.0629
15.72,-4.4573,-8.0829,11.0871
15.74,-5.2472,-9.5341,11.3432
15.76,-6.1768,-11.1963,11.907
15.78,-7.2578,-13.0505,12.8752
15.8,-8.4925,-15.0357,14.3628
15.82,-9.8663,-17.0266,16.4888
15.84,-11.3366,-18.8109,19.3444
15.86,-12.821,-20.0835,22.9364
15.88,-14.1907,-20.4811,27.1136
15.9,-15.2758,-19.681,31.5108
15.92,-15.8947,-17.5531,35.5708
15.94,-15.9035,-14.2878,38.6898
15.96,-15.2502,-10.388,40.4426
15.98,-13.9992,-6.4916,40.7482
16,-12.3124,-3.1283,39.8562
16.02,-10.3953,-0.5719,38.185
16.04,-8.441,1.1561,36.1405
16.06,-6.5954,2.1901,34.0143
16.08,-4.9472,2.7191,31.9704
16.1,-3.5348,2.9209,30.0772
16.12,-2.3613,2.9357,28.3478
16.14,-1.4071,2.8632,26.7701
16.16,-0.6419,2.7691,25.3244
16.18,-0.0311,2.6941,23.992
